"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NM_007114_3101"	"TMF1"	3.89199036609363	3.15061549750421	32.0690827302935	2.73632858443772e-14	3.83221463632392e-12	23.2502271703207
"NM_001850_2075"	"COL8A1"	3.76175250092166	3.62462424275997	31.8224285133808	3.03779578564443e-14	4.17180790174179e-12	23.1440703781299
"NM_021080_2305"	"DAB1"	4.48763062532141	3.89525310360599	31.4746449797478	3.52488844312669e-14	4.79418721423337e-12	22.9928749471156
"NM_144621_2763"	"ZBTB8A"	3.14230439857289	3.11979281201388	31.3851183245167	3.66339643081222e-14	4.93511833465132e-12	22.9536636004688
"NM_001082_2131"	"CYP4F2"	-7.00127342555016	-6.00717915935632	-30.9730502106262	4.38058159061934e-14	5.79096510273931e-12	22.7716243789796
"NM_012412_728"	"H2AFV"	3.64045308610732	3.25963924837029	30.815530501778	4.69331799347316e-14	6.14694287200721e-12	22.7013511215926
"NM_016024_1321"	"RBMX2"	-4.86811029321516	-3.9032266990808	-30.7767049897004	4.77402309834941e-14	6.19528043359196e-12	22.6839711680684
"NM_130783_2718"	"TSPAN18"	-3.51796295355342	-2.40262320026562	-30.6809511558586	4.97949110798339e-14	6.40317288385683e-12	22.6410073936052
"NM_033543_225"	"CEACAM21"	-4.82611349314357	-3.70179137949886	-30.5359975753951	5.30877688087675e-14	6.76510351171186e-12	22.5756951543395
"NM_003801_1041"	"GPAA1"	5.98301920218928	5.65730981675275	30.4668172278881	5.4740922268849e-14	6.91348522761491e-12	22.5444076778672
"NM_013302_2586"	"EEF2K"	4.13485431784933	3.71891388352415	30.4287105409489	5.5675028619742e-14	6.96923256483407e-12	22.5271412067804
"NM_003254_733"	"TIMP1"	-5.37495094002466	-5.71392828161098	-30.3955061019298	5.65029028013961e-14	7.01082070285744e-12	22.5120771941098
"NM_032120_978"	"RBM48"	-4.38087946868343	-2.62301484363202	-30.3041021069052	5.88507603867065e-14	7.2386435275649e-12	22.4705188238484
"NM_021035_6689"	"ZNFX1"	-3.5195394284874	-2.53162709990003	-29.8364202915106	7.26173504945772e-14	8.56315803388199e-12	22.2557720844494
"NM_018233_1896"	"OGFOD1"	-6.18741966738844	-3.97598964470702	-29.6223240206766	8.00378629151875e-14	9.27979976176498e-12	22.156269784329
"NM_139242_1025"	"MTFMT"	3.61835426225069	3.03613517796479	29.5011539139547	8.45944450788876e-14	9.64990665839407e-12	22.0996172270822
"NM_005491_4021"	"MAMLD1"	-4.44344403673024	-3.37908612956739	-29.2829143186908	9.35178852858548e-14	1.0432668187966e-11	21.9969565600709
"NM_144642_2235"	"SYNPR"	5.36325054908206	2.86212172983451	29.1164162893374	1.01002965144272e-13	1.09949788072883e-11	21.9180902121058
"NM_000093_6397"	"COL5A1"	6.13659764008042	6.09432434637722	29.1154198957653	1.0104964616101e-13	1.09949788072883e-11	21.9176168113805
"NM_080385_2531"	"CPA5"	-6.990968129943	-4.97110850456853	-28.7462799909357	1.20044359448934e-13	1.26718467492923e-11	21.7410477799047
"NM_022066_4542"	"UBE2O"	3.12071015785683	3.08672688295241	28.7021190859272	1.22561302487412e-13	1.28417009161810e-11	21.719764744159
"NM_001053_360"	"SSTR5"	-4.49458167874318	-4.13785813559073	-28.6615851872861	1.24921352249602e-13	1.29927391733134e-11	21.7001993802371
"NM_006875_1743"	"PIM2"	-3.82087106434531	-2.80319915459938	-28.6375615996719	1.26343056838932e-13	1.30112429041299e-11	21.6885896638303
"NM_030774_1277"	"OR51E2"	-6.36281176631339	-5.80683353281047	-28.6275783122081	1.26938955162243e-13	1.30112429041299e-11	21.6837620961467
"NM_014406_424"	"CCT8L2"	5.13715043602686	5.11308461924445	28.4479981804299	1.38188746754427e-13	1.39619987345812e-11	21.5966200436608
"NM_014143_593"	"CD274"	4.30027017439224	3.74407534494523	28.4126634001322	1.40525590385031e-13	1.40974076311791e-11	21.5794056765084
"NM_080625_2110"	"CCM2L"	3.55381415140732	2.73127437629168	28.3836439170547	1.42476454050595e-13	1.41786933521969e-11	21.5652511775389
"NM_021052_515"	"HIST1H2AE"	-3.23247776520971	-1.86159918116587	-28.3649295881387	1.43749925779549e-13	1.41786933521969e-11	21.5561150483497
"NM_005725_619"	"TSPAN2"	3.20555145098165	2.82060213109461	28.2746832346586	1.50064632047433e-13	1.4452069816089e-11	21.5119688237831
"NM_002606_1602"	"PDE9A"	4.40481685481966	4.03792269126014	28.2729165117556	1.50191181545782e-13	1.4452069816089e-11	21.5111031137964
"NM_016274_1529"	"PLEKHO1"	-8.845836467756	-6.82218175846331	-28.1200464160167	1.61586522228035e-13	1.52321529180211e-11	21.4359799170482
"NM_004062_1869"	"CDH16"	-4.90883502083732	-4.87345894308985	-28.1161290635383	1.61890441899418e-13	1.52321529180211e-11	21.4340492394909
"NM_021950_1123"	"MS4A1"	3.59014396808172	3.28160649506778	28.0928001443861	1.63713102936438e-13	1.52321529180211e-11	21.422545683001
"NM_018083_235"	"ZNF358"	-5.6195032779775	-3.69358189093639	-28.0705811384844	1.6546950893558e-13	1.52321529180211e-11	21.4115801246326
"NM_153341_1630"	"RNF19B"	-5.28939216587341	-4.61080216506777	-28.0161333636927	1.69859548087617e-13	1.54441783134084e-11	21.3846705170919
"NM_053039_1612"	"UGT2B28"	-5.23925379044651	-3.717059744804	-28.0104106555154	1.70328159554027e-13	1.54441783134084e-11	21.3818390172491
"NM_144648_2601"	"LRGUK"	3.61551111389888	2.21367503047203	27.857205252695	1.83403032150235e-13	1.65237954762107e-11	21.3058097876985
"NM_173513_361"	"LINC00471"	3.27819494481407	3.34282555936075	27.8391444105151	1.85013870373703e-13	1.65634252938989e-11	21.2968181783332
"NM_007024_1782"	"TMEM115"	-6.19590090514845	-6.38691710506536	-27.7916185159323	1.89325574862414e-13	1.67375641026803e-11	21.2731282071688
"NM_005488_1838"	"TOM1"	3.53111162551024	4.01993364457868	27.7456484348743	1.93598734874274e-13	1.70090317068112e-11	21.2501734552587
"NM_031478_515"	"FAM57B"	3.56211927355113	3.36926587964627	27.6909735477959	1.98816069093302e-13	1.73595882550911e-11	21.2228202730124
"NM_170743_4360"	"IFNLR1"	-4.01673013794782	-2.85758959786504	-27.2553658440593	2.46184291885027e-13	2.11047079315982e-11	21.0028580165949
"NM_003773_1102"	"HYAL2"	4.56518089855551	4.39213713589851	27.229533004078	2.49349851112814e-13	2.11597497230208e-11	20.9896988172666
"NM_002558_2628"	"P2RX1"	-3.49044325684196	-2.96671495502557	-27.062687028429	2.7087554977616e-13	2.28067538784749e-11	20.904393879666
"NM_152448_556"	"C15orf43"	-3.00580917509272	-2.35263326879776	-26.9098759526481	2.92343776188834e-13	2.44686551135566e-11	20.8257839920876
"NM_005439_1406"	"MLF2"	3.62443912040597	3.41657586900887	26.8581932914103	3.00011520137839e-13	2.49579207606431e-11	20.7990922394272
"NM_006531_2523"	"IFT88"	8.6004239935188	8.45341121298773	26.8366668309404	3.03268560211517e-13	2.49579207606431e-11	20.7879590785248
"NM_172236_688"	"POFUT1"	4.30488939635768	3.76180972141809	26.835260421838	3.03482670260206e-13	2.49579207606431e-11	20.7872313826753
"NM_003415_3647"	"ZNF268"	-3.55320212962015	-1.80019304932154	-26.7588361305332	3.15364536689849e-13	2.54904649798738e-11	20.7476288134885
"NM_002403_477"	"MFAP2"	-3.12205158378528	-2.4372155449706	-26.5901613131081	3.4339024945011e-13	2.74421190874113e-11	20.6598062831334
"NM_152320_2237"	"ZNF641"	4.87045597617551	5.37387291575969	26.422678511536	3.73874856080633e-13	2.93803324403364e-11	20.5720320330619
"NM_173501_1246"	"C16orf52"	3.56302856439673	3.24757338613563	26.3989796943605	3.78417532614512e-13	2.95730165681341e-11	20.5595655345174
"NM_033413_601"	"LRRC46"	-3.32853149025663	-2.30146692666464	-26.3799868053373	3.82100853671282e-13	2.96967943691224e-11	20.5495661854125
"NM_012427_1329"	"KLK5"	-6.78394452456006	-5.04711614469514	-26.1846274200352	4.22297606619212e-13	3.22886467331284e-11	20.4462799569276
"NM_017896_1307"	"GID8"	-5.71519505919553	-4.2697540336516	-26.1266368585182	4.35084550780724e-13	3.28476464347013e-11	20.4154673058751
"NM_021065_331"	"HIST1H2AD"	4.50319657379659	4.06597238725614	26.0083254199383	4.62477328540552e-13	3.46123905407731e-11	20.3523845368077
"NM_004591_419"	"CCL20"	3.36244921636944	2.81077344641297	25.9680960155824	4.72208076424113e-13	3.51546486369425e-11	20.3308671317017
"NM_001784_2156"	"ADGRE5"	5.00254930473592	3.45453880573713	25.8784111645184	4.94699937380287e-13	3.66362859384511e-11	20.2827737869772
"NM_032192_1201"	"PPP1R1B"	-3.75647485897706	-3.17344327261851	-25.8600700675207	4.9943952252041e-13	3.67946460731833e-11	20.2729172762652
"NM_006507_693"	"REG1B"	4.41657687781183	3.50964529078319	25.8294078544288	5.07472059142566e-13	3.68112424439569e-11	20.2564233182866
"NM_148959_748"	"HUS1B"	4.4093853700834	4.0735504740655	25.7789452139601	5.20994615043467e-13	3.75993307642338e-11	20.2292343213567
"NM_000814_1238"	"GABRB3"	-3.67809191903827	-3.61121451207445	-25.6425349790255	5.59518774623622e-13	4.01745840967063e-11	20.1554624465216
"NM_176880_239"	"NR2C2AP"	-5.44284096526537	-5.05795931829145	-25.3181153633226	6.6395414702476e-13	4.67636521611405e-11	19.9783822220956
"NM_001174_5230"	"ARHGAP6"	3.31012316750373	2.57683875753269	25.2681060682056	6.81830454258885e-13	4.7745008789564e-11	19.9508784973422
"NM_178349_281"	"LCE1B"	4.62558692750596	4.37850215259928	25.0244207148597	7.76633277043169e-13	5.38503809008609e-11	19.8160561050722
"NM_021186_467"	"ZP4"	-5.25594724539381	-3.75973161558632	-24.9052104610224	8.28071506040376e-13	5.68595701599084e-11	19.7496115740937
"NM_032087_2032"	"PCDHGA7"	3.82350176133401	2.44753889351096	24.7273099200633	9.11739282446381e-13	6.14121530962098e-11	19.6498484011398
"NM_003291_4412"	"TPP2"	3.0434412959816	2.85150384100773	24.6958957652052	9.27432425077941e-13	6.158949482766e-11	19.6321559232837
"NM_020482_1910"	"FHL5"	3.54870577354773	2.89462697126647	24.6903226316179	9.30246621030873e-13	6.158949482766e-11	19.6290147338714
"NM_002247_5491"	"KCNMA1"	-3.98357440193885	-3.37009897295758	-24.6831357709092	9.33889194877404e-13	6.158949482766e-11	19.6249629311762
"NM_004578_999"	"RAB4A"	-5.32189646925101	-4.40629310210078	-24.661687373747	9.44851210859118e-13	6.158949482766e-11	19.6128636180539
"NM_025140_1680"	"CCDC92"	-7.6990626217094	-5.67013889519234	-24.6355849683769	9.58378150176058e-13	6.21846740102768e-11	19.598124445819
"NM_024907_984"	"FBXO17"	-4.63040898132685	-3.62933439371448	-24.6147436093675	9.69327642041368e-13	6.26079429071924e-11	19.5863445855836
"NM_006496_1376"	"GNAI3"	3.19569410244409	3.05042732806452	24.5999154265047	9.77199540957761e-13	6.28294886674888e-11	19.5779572784097
"NM_000697_2216"	"ALOX12"	-4.16185327773741	-3.46844846329794	-24.4034541486613	1.08821725708346e-12	6.87833160932855e-11	19.4663439271214
"NM_005842_1547"	"SPRY2"	-3.81262825058502	-3.46018888786733	-24.3401337194208	1.12681989411344e-12	7.05259619567901e-11	19.430175540959
"NM_018936_1183"	"PCDHB2"	4.70883820266935	4.62562174711313	24.3222492705414	1.13798679294294e-12	7.09111153576117e-11	19.4199426901527
"NM_032717_2135"	"AGPAT9"	3.26844020708864	3.01902840153996	24.2191957951717	1.20468615799136e-12	7.40881987164687e-11	19.3608297923896
"NM_016319_1234"	"COPS7A"	4.95490971232453	3.14113714640671	24.1231964460128	1.27059804527673e-12	7.71356624482374e-11	19.3055330325194
"NM_020524_3029"	"PBXIP1"	-4.64800933613758	-5.09854164198503	-24.0681521510948	1.31012497458724e-12	7.91953750663953e-11	19.2737260707047
"NM_003021_2120"	"SGTA"	-5.8925066154573	-4.58358433599696	-24.0370529885123	1.33303778546223e-12	7.98975401498445e-11	19.2557230090668
"NM_018029_1184"	"EBLN2"	-3.90844460000418	-2.82934053361859	-23.9423129416334	1.40552478143569e-12	8.36189652196278e-11	19.2007328788463
"NM_002556_2188"	"OSBP"	5.03644583036529	4.46507055131504	23.9330163412289	1.41286197861372e-12	8.36189652196278e-11	19.1953249636604
"NM_000917_2377"	"P4HA1"	-6.89929869549505	-8.45708051349123	-23.8947271452522	1.44351651948595e-12	8.50772548672031e-11	19.1730293501387
"NM_024528_1000"	"NKAP"	-3.52922636068645	-2.03104198616736	-23.8855669431606	1.45095535617841e-12	8.51608444528781e-11	19.1676900462435
"NM_004841_4177"	"RASAL2"	-3.7051188184967	-2.28470360759978	-23.7494605387377	1.56645967135276e-12	9.00714311027836e-11	19.088111194327
"NM_006284_1C07"	"TAF10"	3.26998974869942	3.04710431158626	23.643035717369	1.66363178788824e-12	9.37532734648573e-11	19.0255646245893
"NM_004797_3673"	"ADIPOQ"	-4.20905251232022	-2.15709132346846	-23.5979266968762	1.70675011737153e-12	9.58015095643664e-11	18.9989678617592
"NM_014435_807"	"NAAA"	-9.61128622908662	-10.3960650467383	-23.5536938355651	1.75019543617369e-12	9.78518357497111e-11	18.9728377856863
"NM_181654_306"	"CPLX4"	-7.56101440887261	-6.63473784148752	-23.4905433631959	1.81428689865709e-12	1.00639561496096e-10	18.935446366858
"NM_018015_1473"	"CXorf57"	3.70386384036506	3.74964822322637	23.4738753122021	1.83161954412517e-12	1.0120413457676e-10	18.9255602871012
"NM_024491_2369"	"CEP70"	-7.8450451920541	-8.77165059805285	-23.4370138118033	1.87058393566244e-12	1.02555851821493e-10	18.9036719889074
